title,qid,url
Amateur theatre,Q455695,https://en.wikipedia.org/wiki/Amateur_theatre
Amazing Grace,Q210211,https://en.wikipedia.org/wiki/Amazing_Grace
Ambient 1: Music for Airports,Q127100,https://en.wikipedia.org/wiki/Ambient_1:_Music_for_Airports
Ambient music,Q193207,https://en.wikipedia.org/wiki/Ambient_music
Ambiguous image,Q4741453,https://en.wikipedia.org/wiki/Ambiguous_image
American Bandstand,Q463447,https://en.wikipedia.org/wiki/American_Bandstand
American Gothic,Q464782,https://en.wikipedia.org/wiki/American_Gothic
American Horror Story,Q53922,https://en.wikipedia.org/wiki/American_Horror_Story
American Idol,Q201052,https://en.wikipedia.org/wiki/American_Idol
American Psycho,Q466504,https://en.wikipedia.org/wiki/American_Psycho
American Standard Version,Q4264194,https://en.wikipedia.org/wiki/American_Standard_Version
American burlesque,Q107198899,https://en.wikipedia.org/wiki/American_burlesque
American comic book,Q1114502,https://en.wikipedia.org/wiki/American_comic_book
American literature,Q233762,https://en.wikipedia.org/wiki/American_literature
Amélie,Q484048,https://en.wikipedia.org/wiki/Amélie
An American Tragedy,Q604418,https://en.wikipedia.org/wiki/An_American_Tragedy
An Enquiry Concerning Human Understanding,Q1306656,https://en.wikipedia.org/wiki/An_Enquiry_Concerning_Human_Understanding
Analog synthesizer,Q3268757,https://en.wikipedia.org/wiki/Analog_synthesizer
Anarkali,Q3595744,https://en.wikipedia.org/wiki/Anarkali
Aït Benhaddou,Q309436,https://en.wikipedia.org/wiki/Aït_Benhaddou
The Alchemist (novel),Q179021,https://en.wikipedia.org/wiki/The_Alchemist_(novel)
The Amazing Adventures of Kavalier & Clay,Q2705230,https://en.wikipedia.org/wiki/The_Amazing_Adventures_of_Kavalier_&_Clay
The Amazing Race (American TV series),Q60096,https://en.wikipedia.org/wiki/The_Amazing_Race_(American_TV_series)
The Ambassadors,Q650571,https://en.wikipedia.org/wiki/The_Ambassadors
Ancient art,Q2277510,https://en.wikipedia.org/wiki/Ancient_art
Ancient literature,Q541923,https://en.wikipedia.org/wiki/Ancient_literature
Ancient music,Q18846,https://en.wikipedia.org/wiki/Ancient_music
And Quiet Flows the Don,Q75840,https://en.wikipedia.org/wiki/And_Quiet_Flows_the_Don
And Then There Were None,Q214132,https://en.wikipedia.org/wiki/And_Then_There_Were_None
Andrei Rublev (film),Q503046,https://en.wikipedia.org/wiki/Andrei_Rublev_(film)
Angels in America,Q2337685,https://en.wikipedia.org/wiki/Angels_in_America
Anglo-Saxon art,Q958255,https://en.wikipedia.org/wiki/Anglo-Saxon_art
Aniara,Q225976,https://en.wikipedia.org/wiki/Aniara
Animal Farm,Q1396889,https://en.wikipedia.org/wiki/Animal_Farm
Animal training,Q1193939,https://en.wikipedia.org/wiki/Animal_training
Animaniacs,Q547744,https://en.wikipedia.org/wiki/Animaniacs
